CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
13443,8 x 8 x 8 Half
13463,12 x 8 x 16 Regular
13464,4 x 8 x 16 Normal Weight Regular
13465,4 x 8 x 16 Regular
13466,6 x 8 x 16 Regular
13467,8 x 8 x 16 Normal Weight Regular
13468,8 x 8 x 16 Regular
13473,4 x 8 x 16 Solid
13474,8 x 8 x 16 75% Solid
13475,8 x 8 x 16 Solid
13476,10” Anchor Bolts
13477,12” Anchor Bolts
13478,12 x 8 x 16 Bond Beam
13480,8 x 8 x 16 Bond Beam
13481,8 x 8 x 16 Hollow Header
13482,8 x 8 x 16 Two Web Knockout
13483,12” Ladder Wire
13486,22 Gauge Wall Ties (500/Box)
13487,"8"" Ladder Wire (500 ft. per bundle)"
13489,Black Plastic Flap Vents
13491,Mortar covers
13492,Weep Holes (Each)
13497,"Type ""N"" Mortar Mix - Coosa - 70lb bag"
13499,Type (N) Mortar
13500,Type (S) Mortar
13501,"Pallets for 4"" Block"
13569,"2"" x 10' S/Wall Stud (H-Stud), 25 GA"
13570,"2"" x 10' S/Wall Track (C-Runner), 25 GA"
13571,"2"" x 12' S/Wall Stud (H-Stud), 25 GA"
13572,Drywall Adhesive 29oz.
13573,Drywall Primer 5 Gallon
13575,"Quiet Solution Sealant, 10.5 oz Tube"
13576,"1/4-Circular Arch, Adjustable"
13577,10' Plastic Flex Arch
13579,Expandable Archway Set
13580,"1 1/4"" Cornerbead"
13581,"1 1/4"" Cornerbead - 10'"
13582,"1 1/4"" Cornerbead - 12'"
13583,"1 1/4"" Cornerbead - 8'"
13584,"1 1/4"" Cornerbead - 9'"
13585,Bullnose Cornerbead
13590,1/2 x 4' x 10' Type X Firecode Drywall 
13591,1/2 x 4' x 12' Type X Firecode Drywall 
13592,1/2 x 4' x 8' Type X Firecode Drywall 
13593,"1/2"" XP Firecode MR Drywall"
13594,5/8 x 4' x 10' Type X Firecode Drywall 
13595,5/8 x 4' x 12' Type X Firecode Drywall 
13596,5/8 x 4' x 8' Type X Firecode Drywall 
13598,1/2 x 4' x 8' Hardibacker
13599,"1 1/4"" CT Screws Bulk (8m)"
13600,"1 3/8"" Drywall Nails, 50 lb."
13601,"1-1/4"" Course Screw"
13602,"7/16"" Pan Head Screws, Fine"
13603,Aluminum Breakaway Clips (500 Box)
13605,1/2 x 4' x 8' GP Denshield
13606,1/2 x 4' x 8' Interior Cement Board
13607,1/2 x 4' x 8' Perma-base Concrete Tile Backboard
13608,1/4  x 4' x 8' Hi-flex Drywall
13609,"5/8  x 4' x8'  ""Serenity"" Sound Reduction Board"
13610,5/8 x 4' x 8' Perma-base Concrete Tile Backboard
13611,1/2 x 4' x 10' Moisture Resistant Drywall
13612,1/2 x 4' x 12' Moisture Resistant Drywall
13613,1/2 x 4' x 8' Moisture Resistant Drywall
13614,Durabond 20
13615,Durabond 45
13616,Durabond 90
13617,"GoldBond ReadyMix, 5 Gal Pail"
13620,USG Plus 3 Ready Mix
13621,"USG ReadyMix, 4 Gal Pail"
13622,"USG ReadyMix, 5 Gal Pail"
